comercioId,banderaId,comercioRazonSocial,banderaDescripcion
9,2,Jumbo Retail Argentina S.A.,Disco
9,3,Jumbo Retail Argentina S.A.,Jumbo
9,1,Jumbo Retail Argentina S.A.,Vea
11,5,Wal Mart Argentina S.R.L.,Walmart SuperCenter
11,1,Wal Mart Argentina S.R.L.,Walmart Supermercado
11,3,Wal Mart Argentina S.R.L.,Changomas Express
15,1,DIA Argentina S.A,Supermercados DIA
19,1,Operadora de Estaciones de Servicios S.A.,FULL
10,1,INC S.A.,Hipermercado Carrefour
10,2,INC S.A.,Market
10,3,INC S.A.,Express
11,4,Wal Mart Argentina S.R.L.,Mi Changomas
11,2,Wal Mart Argentina S.R.L.,Changomas
16,1,Libertad S.A,Hipermercado Libertad
7,1,Cyre S.A.,Supermercados Cordiez
14,1,Miguel Becerra S.A.,Supermercados Becerra
16,2,Libertad S.A,Mini Libertad
